Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
I1	Tot_p_Indig_M	Total_persons_Indigenous_Males	I01A	I01a	Indigenous Males
I2	Tot_p_Indig_F	Total_persons_Indigenous_Females	I01A	I01a	Indigenous Females
I3	Tot_p_Indig_P	Total_persons_Indigenous_Persons	I01A	I01a	Indigenous Persons
I4	Tot_p_NonInd_M	Total_persons_Non_Indigenous_Males	I01A	I01a	Non-Indigenous Males
I5	Tot_p_NonInd_F	Total_persons_Non_Indigenous_Females	I01A	I01a	Non-Indigenous Females
I6	Tot_p_NonInd_P	Total_persons_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous Persons
I7	Tot_p_IndigStat_nsM	Total_persons_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I8	Tot_p_IndigStat_nsF	Total_persons_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I9	Tot_p_IndigStat_nsP	Total_persons_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I10	Tot_p_TotM	Total_persons_Total_Males	I01A	I01a	Total Males
I11	Tot_p_TotF	Total_persons_Total_Females	I01A	I01a	Total Females
I12	Tot_p_TotP	Total_persons_Total_Persons	I01A	I01a	Total Persons
I13	A_0_4_Indig_M	Age_groups_0_4_years_Indigenous_Males	I01A	I01a	Indigenous: Males
I14	A_0_4_Indig_F	Age_groups_0_4_years_Indigenous_Females	I01A	I01a	Indigenous: Females
I15	A_0_4_Indig_P	Age_groups_0_4_years_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I16	A_0_4_NonInd_M	Age_groups_0_4_years_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I17	A_0_4_NonInd_F	Age_groups_0_4_years_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I18	A_0_4_NonInd_P	Age_groups_0_4_years_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I19	A_0_4_IndigStat_nsM	Age_groups_0_4_years_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I20	A_0_4_IndigStat_nsF	Age_groups_0_4_years_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I21	A_0_4_IndigStat_nsP	Age_groups_0_4_years_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I22	A_0_4_TotM	Age_groups_0_4_years_Total_Males	I01A	I01a	Total: Males
I23	A_0_4_TotF	Age_groups_0_4_years_Total_Females	I01A	I01a	Total: Females
I24	A_0_4_TotP	Age_groups_0_4_years_Total_Persons	I01A	I01a	Total: Persons
I25	A_5_14_Indig_M	Age_groups_5_14_years_Indigenous_Males	I01A	I01a	Indigenous: Males
I26	A_5_14_Indig_F	Age_groups_5_14_years_Indigenous_Females	I01A	I01a	Indigenous: Females
I27	A_5_14_Indig_P	Age_groups_5_14_years_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I28	A_5_14_NonInd_M	Age_groups_5_14_years_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I29	A_5_14_NonInd_F	Age_groups_5_14_years_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I30	A_5_14_NonInd_P	Age_groups_5_14_years_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I31	A_5_14_IndigStat_nsM	Age_groups_5_14_years_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I32	A_5_14_IndigStat_nsF	Age_groups_5_14_years_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I33	A_5_14_IndigStat_nsP	Age_groups_5_14_years_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I34	A_5_14_TotM	Age_groups_5_14_years_Total_Males	I01A	I01a	Total: Males
I35	A_5_14_TotF	Age_groups_5_14_years_Total_Females	I01A	I01a	Total: Females
I36	A_5_14_TotP	Age_groups_5_14_years_Total_Persons	I01A	I01a	Total: Persons
I37	A_15_24_Indig_M	Age_groups_15_24_years_Indigenous_Males	I01A	I01a	Indigenous: Males
I38	A_15_24_Indig_F	Age_groups_15_24_years_Indigenous_Females	I01A	I01a	Indigenous: Females
I39	A_15_24_Indig_P	Age_groups_15_24_years_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I40	A_15_24_NonInd_M	Age_groups_15_24_years_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I41	A_15_24_NonInd_F	Age_groups_15_24_years_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I42	A_15_24_NonInd_P	Age_groups_15_24_years_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I43	A_15_24_IndigStat_nsM	Age_groups_15_24_years_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
