Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
P1	Tot_P_M	Total_persons_Males	P01	P01a	Males
P2	Tot_P_F	Total_persons_Females	P01	P01a	Females
P3	Tot_P_P	Total_persons_Persons	P01	P01a	Persons
P4	Age_0_4_yr_M	Age_groups_0_4_years_Males	P01	P01a	Males
P5	Age_0_4_yr_F	Age_groups_0_4_years_Females	P01	P01a	Females
P6	Age_0_4_yr_P	Age_groups_0_4_years_Persons	P01	P01a	Persons
P7	Age_5_14_yr_M	Age_groups_5_14_years_Males	P01	P01a	Males
P8	Age_5_14_yr_F	Age_groups_5_14_years_Females	P01	P01a	Females
P9	Age_5_14_yr_P	Age_groups_5_14_years_Persons	P01	P01a	Persons
P10	Age_15_19_yr_M	Age_groups_15_19_years_Males	P01	P01a	Males
P11	Age_15_19_yr_F	Age_groups_15_19_years_Females	P01	P01a	Females
P12	Age_15_19_yr_P	Age_groups_15_19_years_Persons	P01	P01a	Persons
P13	Age_20_24_yr_M	Age_groups_20_24_years_Males	P01	P01a	Males
P14	Age_20_24_yr_F	Age_groups_20_24_years_Females	P01	P01a	Females
P15	Age_20_24_yr_P	Age_groups_20_24_years_Persons	P01	P01a	Persons
P16	Age_25_34_yr_M	Age_groups_25_34_years_Males	P01	P01a	Males
P17	Age_25_34_yr_F	Age_groups_25_34_years_Females	P01	P01a	Females
P18	Age_25_34_yr_P	Age_groups_25_34_years_Persons	P01	P01a	Persons
P19	Age_35_44_yr_M	Age_groups_35_44_years_Males	P01	P01a	Males
P20	Age_35_44_yr_F	Age_groups_35_44_years_Females	P01	P01a	Females
P21	Age_35_44_yr_P	Age_groups_35_44_years_Persons	P01	P01a	Persons
P22	Age_45_54_yr_M	Age_groups_45_54_years_Males	P01	P01a	Males
P23	Age_45_54_yr_F	Age_groups_45_54_years_Females	P01	P01a	Females
P24	Age_45_54_yr_P	Age_groups_45_54_years_Persons	P01	P01a	Persons
P25	Age_55_64_yr_M	Age_groups_55_64_years_Males	P01	P01a	Males
P26	Age_55_64_yr_F	Age_groups_55_64_years_Females	P01	P01a	Females
P27	Age_55_64_yr_P	Age_groups_55_64_years_Persons	P01	P01a	Persons
P28	Age_65_74_yr_M	Age_groups_65_74_years_Males	P01	P01a	Males
P29	Age_65_74_yr_F	Age_groups_65_74_years_Females	P01	P01a	Females
P30	Age_65_74_yr_P	Age_groups_65_74_years_Persons	P01	P01a	Persons
P31	Age_75_84_yr_M	Age_groups_75_84_years_Males	P01	P01a	Males
P32	Age_75_84_yr_F	Age_groups_75_84_years_Females	P01	P01a	Females
P33	Age_75_84_yr_P	Age_groups_75_84_years_Persons	P01	P01a	Persons
P34	Age_85_yr_over_M	Age_groups_85_years_and_over_Males	P01	P01a	Males
P35	Age_85_yr_over_F	Age_groups_85_years_and_over_Females	P01	P01a	Females
P36	Age_85_yr_over_P	Age_groups_85_years_and_over_Persons	P01	P01a	Persons
P37	OS_vis_M	Overseas_visitors_Males	P01	P01a	Males
P38	OS_vis_F	Overseas_visitors_Females	P01	P01a	Females
P39	OS_vis_P	Overseas_visitors_Persons	P01	P01a	Persons
P40	Count_persons_private_dwgs_M	Count_of_persons_in_private_dwellings_Males	P01	P01a	Males
P41	Count_persons_private_dwgs_F	Count_of_persons_in_private_dwellings_Females	P01	P01a	Females
P42	Count_persons_private_dwgs_P	Count_of_persons_in_private_dwellings_Persons	P01	P01a	Persons
P43	Count_persons_other_dwgs_M	Count_of_persons_in_other_dwellings_Males	P01	P01a	Males
P44	Count_persons_other_dwgs_F	Count_of_persons_in_other_dwellings_Females	P01	P01a	Females
P45	Count_persons_other_dwgs_P	Count_of_persons_in_other_dwellings_Persons	P01	P01a	Persons
P46	Indig_persons_Aboriginal_M	Indigenous_persons_Aboriginal_Males	P01	P01a	Males
P47	Indig_persons_Aboriginal_F	Indigenous_persons_Aboriginal_Females	P01	P01a	Females
P48	Indig_persons_Aboriginal_P	Indigenous_persons_Aboriginal_Persons	P01	P01a	Persons
P49	Indig_psns_Torres_Strait_Is_M	Indigenous_persons_Torres_Strait_Islander_Males	P01	P01a	Males
P50	Indig_psns_Torres_Strait_Is_F	Indigenous_persons_Torres_Strait_Islander_Females	P01	P01a	Females
P51	Indig_psns_Torres_Strait_Is_P	Indigenous_persons_Torres_Strait_Islander_Persons	P01	P01a	Persons
P52	Indig_pe_Bo_Abor_Trs_St_Is_M	Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_Males	P01	P01a	Males
P53	Indig_pe_Bo_Abor_Trs_St_Is_F	Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_Females	P01	P01a	Females
P54	Indig_pe_Bo_Abor_Trs_St_Is_P	Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_Persons	P01	P01a	Persons
P55	Indigenous_persons_Tot_M	Indigenous_persons_Total_Males	P01	P01a	Males
P56	Indigenous_persons_Tot_F	Indigenous_persons_Total_Females	P01	P01a	Females
P57	Indigenous_persons_Tot_P	Indigenous_persons_Total_Persons	P01	P01a	Persons
P58	Birthplace_Australia_M	Birthplace_Australia_Males	P01	P01a	Males
P59	Birthplace_Australia_F	Birthplace_Australia_Females	P01	P01a	Females
P60	Birthplace_Australia_P	Birthplace_Australia_Persons	P01	P01a	Persons
P61	Birthplace_Elsewhere_M	Birthplace_Elsewhere_Males	P01	P01a	Males
P62	Birthplace_Elsewhere_F	Birthplace_Elsewhere_Females	P01	P01a	Females
P63	Birthplace_Elsewhere_P	Birthplace_Elsewhere_Persons	P01	P01a	Persons
P64	Lang_spo_home_Eng_only_M	Language_spoken_at_home_English_only_Males	P01	P01a	Males
P65	Lang_spo_home_Eng_only_F	Language_spoken_at_home_English_only_Females	P01	P01a	Females
P66	Lang_spo_home_Eng_only_P	Language_spoken_at_home_English_only_Persons	P01	P01a	Persons
P67	Lang_spo_home_Oth_Lang_M	Language_spoken_at_home_Other_language_Males	P01	P01a	Males
P68	Lang_spo_home_Oth_Lang_F	Language_spoken_at_home_Other_language_Females	P01	P01a	Females
P69	Lang_spo_home_Oth_Lang_P	Language_spoken_at_home_Other_language_Persons	P01	P01a	Persons
P70	Australian_citizen_M	Australian_citizen_Males	P01	P01a	Males
P71	Australian_citizen_F	Australian_citizen_Females	P01	P01a	Females
P72	Australian_citizen_P	Australian_citizen_Persons	P01	P01a	Persons
P73	Age_per_att_educ_instit_0_4_M	Age_of_persons_attending_an_educational_institution_0_4_years_Males	P01	P01b	Males
P74	Age_per_att_educ_instit_0_4_F	Age_of_persons_attending_an_educational_institution_0_4_years_Females	P01	P01b	Females
P75	Age_per_att_educ_instit_0_4_P	Age_of_persons_attending_an_educational_institution_0_4_years_Persons	P01	P01b	Persons
P76	Age_per_att_educ_insti_5_14_M	Age_of_persons_attending_an_educational_institution_5_14_years_Males	P01	P01b	Males
P77	Age_per_att_educ_insti_5_14_F	Age_of_persons_attending_an_educational_institution_5_14_years_Females	P01	P01b	Females
P78	Age_per_att_educ_insti_5_14_P	Age_of_persons_attending_an_educational_institution_5_14_years_Persons	P01	P01b	Persons
P79	Age_per_att_educ_inst_15_19_M	Age_of_persons_attending_an_educational_institution_15_19_years_Males	P01	P01b	Males
P80	Age_per_att_educ_inst_15_19_F	Age_of_persons_attending_an_educational_institution_15_19_years_Females	P01	P01b	Females
P81	Age_per_att_educ_inst_15_19_P	Age_of_persons_attending_an_educational_institution_15_19_years_Persons	P01	P01b	Persons
P82	Age_per_att_educ_inst_20_24_M	Age_of_persons_attending_an_educational_institution_20_24_years_Males	P01	P01b	Males
P83	Age_per_att_educ_inst_20_24_F	Age_of_persons_attending_an_educational_institution_20_24_years_Females	P01	P01b	Females
P84	Age_per_att_educ_inst_20_24_P	Age_of_persons_attending_an_educational_institution_20_24_years_Persons	P01	P01b	Persons
P85	Age_per_att_educ_instit_25_M	Age_of_persons_attending_an_educational_institution_25_years_and_over_Males	P01	P01b	Males
P86	Age_per_att_educ_instit_25_F	Age_of_persons_attending_an_educational_institution_25_years_and_over_Females	P01	P01b	Females
P87	Age_per_att_educ_instit_25_P	Age_of_persons_attending_an_educational_institution_25_years_and_over_Persons	P01	P01b	Persons
P88	High_yr_sch_com_Yr_12_equiv_M	Highest_year_of_school_completed_Year_12_or_equivalent_Males	P01	P01b	Males
P89	High_yr_sch_com_Yr_12_equiv_F	Highest_year_of_school_completed_Year_12_or_equivalent_Females	P01	P01b	Females
P90	High_yr_sch_com_Yr_12_equiv_P	Highest_year_of_school_completed_Year_12_or_equivalent_Persons	P01	P01b	Persons
P91	High_yr_sch_com_Yr_11_equiv_M	Highest_year_of_school_completed_Year_11_or_equivalent_Males	P01	P01b	Males
P92	High_yr_sch_com_Yr_11_equiv_F	Highest_year_of_school_completed_Year_11_or_equivalent_Females	P01	P01b	Females
P93	High_yr_sch_com_Yr_11_equiv_P	Highest_year_of_school_completed_Year_11_or_equivalent_Persons	P01	P01b	Persons
P94	High_yr_sch_com_Yr_10_equiv_M	Highest_year_of_school_completed_Year_10_or_equivalent_Males	P01	P01b	Males
P95	High_yr_sch_com_Yr_10_equiv_F	Highest_year_of_school_completed_Year_10_or_equivalent_Females	P01	P01b	Females
P96	High_yr_sch_com_Yr_10_equiv_P	Highest_year_of_school_completed_Year_10_or_equivalent_Persons	P01	P01b	Persons
P97	High_yr_sch_comp_Yr_9_equiv_M	Highest_year_of_school_completed_Year_9_or_equivalent_Males	P01	P01b	Males
P98	High_yr_sch_comp_Yr_9_equiv_F	Highest_year_of_school_completed_Year_9_or_equivalent_Females	P01	P01b	Females
P99	High_yr_sch_comp_Yr_9_equiv_P	Highest_year_of_school_completed_Year_9_or_equivalent_Persons	P01	P01b	Persons
P100	High_yr_sch_comp_Yr_8_below_M	Highest_year_of_school_completed_Year_8_or_below_Males	P01	P01b	Males
P101	High_yr_sch_comp_Yr_8_below_F	Highest_year_of_school_completed_Year_8_or_below_Females	P01	P01b	Females
P102	High_yr_sch_comp_Yr_8_below_P	Highest_year_of_school_completed_Year_8_or_below_Persons	P01	P01b	Persons
P103	Hi_yr_sc_co_Di_not_go_to_sc_M	Highest_year_of_school_completed_Did_not_go_to_school_Males	P01	P01b	Males
P104	Hi_yr_sc_co_Di_not_go_to_sc_F	Highest_year_of_school_completed_Did_not_go_to_school_Females	P01	P01b	Females
P105	Hi_yr_sc_co_Di_not_go_to_sc_P	Highest_year_of_school_completed_Did_not_go_to_school_Persons	P01	P01b	Persons
P106	Median_age_persons	Median_age_of_persons	P02	P02	Median age of persons
P107	Med_mort_repaymnt_monthly	Median_mortgage_repayment_monthly	P02	P02	Median mortgage repayment ($/monthly)
P108	Med_tot_psnl_incom_weekly	Median_total_personal_income_weekly	P02	P02	Median total personal income ($/weekly)
P109	Median_rent_weekly	Median_rent_weekly	P02	P02	Median rent ($/weekly)
P110	Med_tot_family_inc_weekly	Median_total_family_income_weekly	P02	P02	Median total family income ($/weekly)
P111	Avge_numbr_prsons_per_bedroom	Average_number_of_persons_per_bedroom	P02	P02	Average number of persons per bedroom
P112	Med_tot_hh_incom_weekly	Median_total_household_income_weekly	P02	P02	Median total household income ($/weekly)
P113	Average_household_size	Average_household_size	P02	P02	Average household size
P114	Cntd_home_Cen_Nt_0_14_yr	Counted_at_home_on_Census_Night_Age_0_14_years	P03	P03	0-14 years
P115	Cntd_home_Cen_Nt_15_24_yr	Counted_at_home_on_Census_Night_Age_15_24_years	P03	P03	15-24 years
P116	Cntd_home_Cen_Nt_25_34_yr	Counted_at_home_on_Census_Night_Age_25_34_years	P03	P03	25-34 years
P117	Cntd_home_Cen_Nt_35_44_yr	Counted_at_home_on_Census_Night_Age_35_44_years	P03	P03	35-44 years
P118	Cntd_home_Cen_Nt_45_54_yr	Counted_at_home_on_Census_Night_Age_45_54_years	P03	P03	45-54 years
P119	Cntd_home_Cen_Nt_55_64_yr	Counted_at_home_on_Census_Night_Age_55_64_years	P03	P03	55-64 years
P120	Cntd_home_Cen_Nt_65_74_yr	Counted_at_home_on_Census_Night_Age_65_74_years	P03	P03	65-74 years
P121	Cntd_home_Cen_Nt_75_84_yr	Counted_at_home_on_Census_Night_Age_75_84_years	P03	P03	75-84 years
P122	Cntd_home_Cen_Nt_85_yr	Counted_at_home_on_Census_Night_Age_85_years_and_over	P03	P03	85 years and over
P123	Cntd_home_Cen_Night_Tot	Counted_at_home_on_Census_Night_Total	P03	P03	Total
P124	Vis_from_Same_SA2_0_14	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_0_14_years	P03	P03	0-14 years
