Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
T1	Tot_persons_C01_M	Total_persons_2001_Census_Males	T01	T01	2001 Census: Males
T2	Tot_persons_C01_F	Total_persons_2001_Census_Females	T01	T01	2001 Census: Females
T3	Tot_persons_C01_P	Total_persons_2001_Census_Persons	T01	T01	2001 Census: Persons
T4	Tot_persons_C06_M	Total_persons_2006_Census_Males	T01	T01	2006 Census: Males
T5	Tot_persons_C06_F	Total_persons_2006_Census_Females	T01	T01	2006 Census: Females
T6	Tot_persons_C06_P	Total_persons_2006_Census_Persons	T01	T01	2006 Census: Persons
T7	Tot_persons_C11_M	Total_persons_2011_Census_Males	T01	T01	2011 Census: Males
T8	Tot_persons_C11_F	Total_persons_2011_Census_Females	T01	T01	2011 Census: Females
T9	Tot_persons_C11_P	Total_persons_2011_Census_Persons	T01	T01	2011 Census: Persons
T10	Age_0_4_C01_M	Age_group_0_4_years_2001_Census_Males	T01	T01	2001 Census: Males
T11	Age_0_4_C01_F	Age_group_0_4_years_2001_Census_Females	T01	T01	2001 Census: Females
T12	Age_0_4_C01_P	Age_group_0_4_years_2001_Census_Persons	T01	T01	2001 Census: Persons
T13	Age_0_4_C06_M	Age_group_0_4_years_2006_Census_Males	T01	T01	2006 Census: Males
T14	Age_0_4_C06_F	Age_group_0_4_years_2006_Census_Females	T01	T01	2006 Census: Females
T15	Age_0_4_C06_P	Age_group_0_4_years_2006_Census_Persons	T01	T01	2006 Census: Persons
T16	Age_0_4_C11_M	Age_group_0_4_years_2011_Census_Males	T01	T01	2011 Census: Males
T17	Age_0_4_C11_F	Age_group_0_4_years_2011_Census_Females	T01	T01	2011 Census: Females
T18	Age_0_4_C11_P	Age_group_0_4_years_2011_Census_Persons	T01	T01	2011 Census: Persons
T19	Age_5_14_C01_M	Age_group_5_14_years_2001_Census_Males	T01	T01	2001 Census: Males
T20	Age_5_14_C01_F	Age_group_5_14_years_2001_Census_Females	T01	T01	2001 Census: Females
T21	Age_5_14_C01_P	Age_group_5_14_years_2001_Census_Persons	T01	T01	2001 Census: Persons
T22	Age_5_14_C06_M	Age_group_5_14_years_2006_Census_Males	T01	T01	2006 Census: Males
T23	Age_5_14_C06_F	Age_group_5_14_years_2006_Census_Females	T01	T01	2006 Census: Females
T24	Age_5_14_C06_P	Age_group_5_14_years_2006_Census_Persons	T01	T01	2006 Census: Persons
T25	Age_5_14_C11_M	Age_group_5_14_years_2011_Census_Males	T01	T01	2011 Census: Males
T26	Age_5_14_C11_F	Age_group_5_14_years_2011_Census_Females	T01	T01	2011 Census: Females
T27	Age_5_14_C11_P	Age_group_5_14_years_2011_Census_Persons	T01	T01	2011 Census: Persons
T28	Age_15_19_C01_M	Age_group_15_19_years_2001_Census_Males	T01	T01	2001 Census: Males
T29	Age_15_19_C01_F	Age_group_15_19_years_2001_Census_Females	T01	T01	2001 Census: Females
T30	Age_15_19_C01_P	Age_group_15_19_years_2001_Census_Persons	T01	T01	2001 Census: Persons
T31	Age_15_19_C06_M	Age_group_15_19_years_2006_Census_Males	T01	T01	2006 Census: Males
T32	Age_15_19_C06_F	Age_group_15_19_years_2006_Census_Females	T01	T01	2006 Census: Females
T33	Age_15_19_C06_P	Age_group_15_19_years_2006_Census_Persons	T01	T01	2006 Census: Persons
T34	Age_15_19_C11_M	Age_group_15_19_years_2011_Census_Males	T01	T01	2011 Census: Males
T35	Age_15_19_C11_F	Age_group_15_19_years_2011_Census_Females	T01	T01	2011 Census: Females
T36	Age_15_19_C11_P	Age_group_15_19_years_2011_Census_Persons	T01	T01	2011 Census: Persons
T37	Age_20_24_C01_M	Age_group_20_24_years_2001_Census_Males	T01	T01	2001 Census: Males
T38	Age_20_24_C01_F	Age_group_20_24_years_2001_Census_Females	T01	T01	2001 Census: Females
T39	Age_20_24_C01_P	Age_group_20_24_years_2001_Census_Persons	T01	T01	2001 Census: Persons
T40	Age_20_24_C06_M	Age_group_20_24_years_2006_Census_Males	T01	T01	2006 Census: Males
T41	Age_20_24_C06_F	Age_group_20_24_years_2006_Census_Females	T01	T01	2006 Census: Females
