Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
W1	M_15_19_EWFT	Males_15_19_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W2	M_15_19_EWPT	Males_15_19_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W3	M_15_19_EAFW	Males_15_19_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W4	M_15_19_EHW_NS	Males_15_19_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W5	M_15_19_Tot	Males_15_19_years_Total	W01A	W01a	Total|MALES
W6	M_20_24_EWFT	Males_20_24_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W7	M_20_24_EWPT	Males_20_24_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W8	M_20_24_EAFW	Males_20_24_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W9	M_20_24_EHW_NS	Males_20_24_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W10	M_20_24_Tot	Males_20_24_years_Total	W01A	W01a	Total|MALES
W11	M_25_29_EWFT	Males_25_29_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W12	M_25_29_EWPT	Males_25_29_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W13	M_25_29_EAFW	Males_25_29_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W14	M_25_29_EHW_NS	Males_25_29_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W15	M_25_29_Tot	Males_25_29_years_Total	W01A	W01a	Total|MALES
W16	M_30_34_EWFT	Males_30_34_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W17	M_30_34_EWPT	Males_30_34_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W18	M_30_34_EAFW	Males_30_34_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W19	M_30_34_EHW_NS	Males_30_34_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W20	M_30_34_Tot	Males_30_34_years_Total	W01A	W01a	Total|MALES
W21	M_35_39_EWFT	Males_35_39_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W22	M_35_39_EWPT	Males_35_39_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W23	M_35_39_EAFW	Males_35_39_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W24	M_35_39_EHW_NS	Males_35_39_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W25	M_35_39_Tot	Males_35_39_years_Total	W01A	W01a	Total|MALES
W26	M_40_44_EWFT	Males_40_44_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W27	M_40_44_EWPT	Males_40_44_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W28	M_40_44_EAFW	Males_40_44_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W29	M_40_44_EHW_NS	Males_40_44_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W30	M_40_44_Tot	Males_40_44_years_Total	W01A	W01a	Total|MALES
W31	M_45_49_EWFT	Males_45_49_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W32	M_45_49_EWPT	Males_45_49_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W33	M_45_49_EAFW	Males_45_49_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W34	M_45_49_EHW_NS	Males_45_49_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W35	M_45_49_Tot	Males_45_49_years_Total	W01A	W01a	Total|MALES
W36	M_50_54_EWFT	Males_50_54_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W37	M_50_54_EWPT	Males_50_54_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W38	M_50_54_EAFW	Males_50_54_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W39	M_50_54_EHW_NS	Males_50_54_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W40	M_50_54_Tot	Males_50_54_years_Total	W01A	W01a	Total|MALES
W41	M_55_59_EWFT	Males_55_59_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W42	M_55_59_EWPT	Males_55_59_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W43	M_55_59_EAFW	Males_55_59_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W44	M_55_59_EHW_NS	Males_55_59_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W45	M_55_59_Tot	Males_55_59_years_Total	W01A	W01a	Total|MALES
W46	M_60_64_EWFT	Males_60_64_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W47	M_60_64_EWPT	Males_60_64_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W48	M_60_64_EAFW	Males_60_64_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W49	M_60_64_EHW_NS	Males_60_64_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W50	M_60_64_Tot	Males_60_64_years_Total	W01A	W01a	Total|MALES
W51	M_65_69_EWFT	Males_65_69_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W52	M_65_69_EWPT	Males_65_69_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W53	M_65_69_EAFW	Males_65_69_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W54	M_65_69_EHW_NS	Males_65_69_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W55	M_65_69_Tot	Males_65_69_years_Total	W01A	W01a	Total|MALES
W56	M_70_74_EWFT	Males_70_74_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W57	M_70_74_EWPT	Males_70_74_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W58	M_70_74_EAFW	Males_70_74_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W59	M_70_74_EHW_NS	Males_70_74_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W60	M_70_74_Tot	Males_70_74_years_Total	W01A	W01a	Total|MALES
W61	M_75ov_EWFT	Males_75_years_and_over_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W62	M_75ov_EWPT	Males_75_years_and_over_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W63	M_75ov_EAFW	Males_75_years_and_over_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W64	M_75ov_EHW_NS	Males_75_years_and_over_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W65	M_75ov_Tot	Males_75_years_and_over_Total	W01A	W01a	Total|MALES
W66	M_Tot_EWFT	Males_Total_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|MALES
W67	M_Tot_EWPT	Males_Total_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|MALES
W68	M_Tot_EAFW	Males_Total_Employed_Away_from_work	W01A	W01a	Employed: Away from work|MALES
W69	M_Tot_EHW_NS	Males_Total_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|MALES
W70	M_Tot_Tot	Males_Total_Total	W01A	W01a	Total|MALES
W71	F_15_19_EWFT	Females_15_19_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|FEMALES
W72	F_15_19_EWPT	Females_15_19_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|FEMALES
W73	F_15_19_EAFW	Females_15_19_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|FEMALES
W74	F_15_19_EHW_NS	Females_15_19_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|FEMALES
W75	F_15_19_Tot	Females_15_19_years_Total	W01A	W01a	Total|FEMALES
W76	F_20_24_EWFT	Females_20_24_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|FEMALES
W77	F_20_24_EWPT	Females_20_24_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|FEMALES
W78	F_20_24_EAFW	Females_20_24_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|FEMALES
W79	F_20_24_EHW_NS	Females_20_24_years_Employed_Hours_worked_not_stated	W01A	W01a	Employed: Hours worked not stated|FEMALES
W80	F_20_24_Tot	Females_20_24_years_Total	W01A	W01a	Total|FEMALES
W81	F_25_29_EWFT	Females_25_29_years_Employed_Worked_full_time	W01A	W01a	Employed: Worked full-time|FEMALES
W82	F_25_29_EWPT	Females_25_29_years_Employed_Worked_part_time	W01A	W01a	Employed: Worked part-time|FEMALES
W83	F_25_29_EAFW	Females_25_29_years_Employed_Away_from_work	W01A	W01a	Employed: Away from work|FEMALES
