Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
X1	M_Australia_0_4	Males_Australia_Age_0_4_years	X01A	X01a	Age: 0-4 years|MALES
X2	M_Australia_5_14	Males_Australia_Age_5_14_years	X01A	X01a	Age: 5-14 years|MALES
X3	M_Australia_15_24	Males_Australia_Age_15_24_years	X01A	X01a	Age: 15-24 years|MALES
X4	M_Australia_25_44	Males_Australia_Age_25_44_years	X01A	X01a	Age: 25-44 years|MALES
X5	M_Australia_45_54	Males_Australia_Age_45_54_years	X01A	X01a	Age: 45-54 years|MALES
X6	M_Australia_55_64	Males_Australia_Age_55_64_years	X01A	X01a	Age: 55-64 years|MALES
X7	M_Australia_65_74	Males_Australia_Age_65_74_years	X01A	X01a	Age: 65-74 years|MALES
X8	M_Australia_75_84	Males_Australia_Age_75_84_years	X01A	X01a	Age: 75-84 years|MALES
X9	M_Australia_85ov	Males_Australia_Age_85_years_and_over	X01A	X01a	Age: 85 years and over|MALES
X10	M_Australia_Tot	Males_Australia_Total	X01A	X01a	Total|MALES
X11	M_Austria_0_4	Males_Austria_Age_0_4_years	X01A	X01a	Age: 0-4 years|MALES
X12	M_Austria_5_14	Males_Austria_Age_5_14_years	X01A	X01a	Age: 5-14 years|MALES
X13	M_Austria_15_24	Males_Austria_Age_15_24_years	X01A	X01a	Age: 15-24 years|MALES
X14	M_Austria_25_44	Males_Austria_Age_25_44_years	X01A	X01a	Age: 25-44 years|MALES
X15	M_Austria_45_54	Males_Austria_Age_45_54_years	X01A	X01a	Age: 45-54 years|MALES
X16	M_Austria_55_64	Males_Austria_Age_55_64_years	X01A	X01a	Age: 55-64 years|MALES
X17	M_Austria_65_74	Males_Austria_Age_65_74_years	X01A	X01a	Age: 65-74 years|MALES
X18	M_Austria_75_84	Males_Austria_Age_75_84_years	X01A	X01a	Age: 75-84 years|MALES
X19	M_Austria_85ov	Males_Austria_Age_85_years_and_over	X01A	X01a	Age: 85 years and over|MALES
X20	M_Austria_Tot	Males_Austria_Total	X01A	X01a	Total|MALES
X21	M_Bosnia_Herzegov_0_4	Males_Bosnia_and_Herzegovina_Age_0_4_years	X01A	X01a	Age: 0-4 years|MALES
X22	M_Bosnia_Herzegov_5_14	Males_Bosnia_and_Herzegovina_Age_5_14_years	X01A	X01a	Age: 5-14 years|MALES
X23	M_Bosnia_Herzegov_15_24	Males_Bosnia_and_Herzegovina_Age_15_24_years	X01A	X01a	Age: 15-24 years|MALES
X24	M_Bosnia_Herzegov_25_44	Males_Bosnia_and_Herzegovina_Age_25_44_years	X01A	X01a	Age: 25-44 years|MALES
X25	M_Bosnia_Herzegov_45_54	Males_Bosnia_and_Herzegovina_Age_45_54_years	X01A	X01a	Age: 45-54 years|MALES
X26	M_Bosnia_Herzegov_55_64	Males_Bosnia_and_Herzegovina_Age_55_64_years	X01A	X01a	Age: 55-64 years|MALES
X27	M_Bosnia_Herzegov_65_74	Males_Bosnia_and_Herzegovina_Age_65_74_years	X01A	X01a	Age: 65-74 years|MALES
